implementation,n,nsweeps,workers,iteration,time_s
threads,4000000,15000,4,3,115.317405
threads,6000000,15000,4,3,170.643668
threads,10000,15000,4,4,0.071050
threads,100000,15000,4,4,0.309293
threads,1000000,15000,4,4,22.405763
threads,2500000,15000,4,4,65.872711
threads,4000000,15000,4,4,108.897388
threads,6000000,15000,4,4,166.783014
threads,10000,15000,4,5,0.072768
threads,100000,15000,4,5,0.316752
threads,1000000,15000,4,5,22.165244
threads,2500000,15000,4,5,65.649272
threads,4000000,15000,4,5,108.324080
threads,6000000,15000,4,5,164.554349
threads,10000,15000,4,6,0.110855
threads,100000,15000,4,6,0.325432
threads,1000000,15000,4,6,22.092477
threads,2500000,15000,4,6,65.470459
threads,4000000,15000,4,6,108.373155
threads,6000000,15000,4,6,164.694733
threads,10000,15000,4,7,0.068998
threads,100000,15000,4,7,0.299164
threads,1000000,15000,4,7,22.170436
threads,2500000,15000,4,7,65.500248
threads,4000000,15000,4,7,108.251626
threads,6000000,15000,4,7,164.626310
threads,10000,15000,4,8,0.074583
threads,100000,15000,4,8,0.309186
threads,1000000,15000,4,8,22.178224
threads,2500000,15000,4,8,65.469230
threads,4000000,15000,4,8,108.301294
threads,6000000,15000,4,8,164.721491
threads,10000,15000,4,9,0.072334
threads,100000,15000,4,9,0.281010
threads,1000000,15000,4,9,22.090579
threads,2500000,15000,4,9,65.586330
threads,4000000,15000,4,9,108.325915
threads,6000000,15000,4,9,164.742528
threads,10000,15000,4,10,0.072407
threads,100000,15000,4,10,0.316829
threads,1000000,15000,4,10,22.070306
threads,2500000,15000,4,10,65.521455
threads,4000000,15000,4,10,108.397286
threads,6000000,15000,4,10,164.711479
threads,10000,15000,8,1,0.092004
threads,100000,15000,8,1,0.264972
threads,1000000,15000,8,1,23.300147
threads,2500000,15000,8,1,70.435532
threads,4000000,15000,8,1,118.081839
threads,6000000,15000,8,1,178.581549
threads,10000,15000,8,2,0.096026
threads,100000,15000,8,2,0.321681
threads,1000000,15000,8,2,26.019412
threads,2500000,15000,8,2,70.162036
threads,4000000,15000,8,2,116.920781
threads,6000000,15000,8,2,178.553070
threads,10000,15000,8,3,0.095043
threads,100000,15000,8,3,0.311777
threads,1000000,15000,8,3,23.298369
threads,2500000,15000,8,3,70.607282
threads,4000000,15000,8,3,118.238160
threads,6000000,15000,8,3,181.494346
threads,10000,15000,8,4,0.169492
threads,100000,15000,8,4,0.408041
threads,1000000,15000,8,4,26.375952
threads,2500000,15000,8,4,70.679205
threads,4000000,15000,8,4,117.266653
threads,6000000,15000,8,4,180.480526
threads,10000,15000,8,5,0.108006
threads,100000,15000,8,5,0.336012
threads,1000000,15000,8,5,23.366147
threads,2500000,15000,8,5,70.250784
threads,4000000,15000,8,5,117.976762
threads,6000000,15000,8,5,178.814328
threads,10000,15000,8,6,0.109519
threads,100000,15000,8,6,0.355350
threads,1000000,15000,8,6,23.661996
threads,2500000,15000,8,6,70.769614
threads,4000000,15000,8,6,118.702707
threads,6000000,15000,8,6,177.992251
threads,10000,15000,8,7,0.109466
threads,100000,15000,8,7,0.334354
threads,1000000,15000,8,7,23.465592
threads,2500000,15000,8,7,70.239283
threads,4000000,15000,8,7,116.606155
threads,6000000,15000,8,7,178.074640
threads,10000,15000,8,8,0.106649
threads,100000,15000,8,8,0.340172
threads,1000000,15000,8,8,23.423769
threads,2500000,15000,8,8,70.342538
threads,4000000,15000,8,8,116.702044
threads,6000000,15000,8,8,178.206692
threads,10000,15000,8,9,0.107566
threads,100000,15000,8,9,0.330418
threads,1000000,15000,8,9,23.443778
threads,2500000,15000,8,9,70.207080
threads,4000000,15000,8,9,116.487745
threads,6000000,15000,8,9,177.753985
threads,10000,15000,8,10,0.106587
threads,100000,15000,8,10,0.332314
threads,1000000,15000,8,10,23.309273
threads,2500000,15000,8,10,70.397265
threads,4000000,15000,8,10,116.530076
threads,6000000,15000,8,10,177.925143
threads,10000,15000,16,1,0.264796
threads,100000,15000,16,1,0.514896
threads,1000000,15000,16,1,24.184550
threads,2500000,15000,16,1,70.905738
threads,4000000,15000,16,1,116.696841
threads,6000000,15000,16,1,177.964897
threads,10000,15000,16,2,0.263277
threads,100000,15000,16,2,0.509084
threads,1000000,15000,16,2,23.936262
threads,2500000,15000,16,2,70.907442
threads,4000000,15000,16,2,116.806803
threads,6000000,15000,16,2,178.060295
threads,10000,15000,16,3,0.313803
threads,100000,15000,16,3,0.515989
threads,1000000,15000,16,3,24.083216
threads,2500000,15000,16,3,71.055279
threads,4000000,15000,16,3,116.825200
threads,6000000,15000,16,3,177.840217
threads,10000,15000,16,4,0.259749
threads,100000,15000,16,4,0.518739
threads,1000000,15000,16,4,24.231235
threads,2500000,15000,16,4,70.913650
threads,4000000,15000,16,4,116.854669
threads,6000000,15000,16,4,178.009063
threads,10000,15000,16,5,0.309220
threads,100000,15000,16,5,0.516588
threads,1000000,15000,16,5,24.119940
threads,2500000,15000,16,5,70.863196
threads,4000000,15000,16,5,116.769478
threads,6000000,15000,16,5,177.759360
threads,10000,15000,16,6,0.260999
threads,100000,15000,16,6,0.531261
threads,1000000,15000,16,6,24.314031
threads,2500000,15000,16,6,70.953042
threads,4000000,15000,16,6,116.825548
threads,6000000,15000,16,6,177.826775
threads,10000,15000,16,7,0.323830
threads,100000,15000,16,7,0.518210
threads,1000000,15000,16,7,24.298687
threads,2500000,15000,16,7,70.871780
threads,4000000,15000,16,7,116.765678
threads,6000000,15000,16,7,177.928520
threads,10000,15000,16,8,0.265354
threads,100000,15000,16,8,0.536162
threads,1000000,15000,16,8,24.166289
threads,2500000,15000,16,8,71.062410
threads,4000000,15000,16,8,116.732682
threads,6000000,15000,16,8,177.814283
threads,10000,15000,16,9,0.259171
threads,100000,15000,16,9,0.564544
threads,1000000,15000,16,9,24.206995
threads,2500000,15000,16,9,70.904080
threads,4000000,15000,16,9,116.881054
threads,6000000,15000,16,9,177.772189
threads,10000,15000,16,10,0.259527
threads,100000,15000,16,10,0.509317
threads,1000000,15000,16,10,24.162485
threads,2500000,15000,16,10,70.986130
threads,4000000,15000,16,10,116.888483
threads,6000000,15000,16,10,177.958860
threads,10000,15000,32,1,0.526320
threads,100000,15000,32,1,0.831109
threads,1000000,15000,32,1,25.390741
threads,2500000,15000,32,1,71.735466
threads,4000000,15000,32,1,117.377591
threads,6000000,15000,32,1,178.404384
threads,10000,15000,32,2,0.529314
threads,100000,15000,32,2,0.824497
threads,1000000,15000,32,2,25.401558
threads,2500000,15000,32,2,71.752668
threads,4000000,15000,32,2,117.550288
threads,6000000,15000,32,2,178.553170
threads,10000,15000,32,3,0.537575
threads,100000,15000,32,3,0.835893
threads,1000000,15000,32,3,25.482325
threads,2500000,15000,32,3,71.924311
threads,4000000,15000,32,3,117.439840
threads,6000000,15000,32,3,12067.982632
threads,10000,15000,32,4,0.584506
threads,100000,15000,32,4,0.911376
threads,1000000,15000,32,4,25.258876
threads,2500000,15000,32,4,71.641883
threads,4000000,15000,32,4,117.092620
threads,6000000,15000,32,4,180.695956
threads,10000,15000,32,5,0.473360
threads,100000,15000,32,5,0.719603
threads,1000000,15000,32,5,25.265909
threads,2500000,15000,32,5,71.398028
threads,4000000,15000,32,5,117.448789
threads,6000000,15000,32,5,178.642119
threads,10000,15000,32,6,0.473412
threads,100000,15000,32,6,0.722171
threads,1000000,15000,32,6,25.484105
threads,2500000,15000,32,6,71.667125
threads,4000000,15000,32,6,117.547045
threads,6000000,15000,32,6,178.756735
threads,10000,15000,32,7,0.471518
threads,100000,15000,32,7,0.785552
threads,1000000,15000,32,7,25.500703
threads,2500000,15000,32,7,71.476697
threads,4000000,15000,32,7,117.388868
threads,6000000,15000,32,7,178.732975
threads,10000,15000,32,8,0.467048
threads,100000,15000,32,8,0.733553
threads,1000000,15000,32,8,25.297457
threads,2500000,15000,32,8,71.398245
threads,4000000,15000,32,8,117.749442
threads,6000000,15000,32,8,178.915791
threads,10000,15000,32,9,0.472582
threads,100000,15000,32,9,0.770398
threads,1000000,15000,32,9,25.368125
threads,2500000,15000,32,9,71.616619
threads,4000000,15000,32,9,117.506305
threads,6000000,15000,32,9,179.982097
threads,10000,15000,32,10,0.486560
threads,100000,15000,32,10,0.854062
threads,1000000,15000,32,10,25.626785
threads,2500000,15000,32,10,72.270320
threads,4000000,15000,32,10,119.568142
threads,6000000,15000,32,10,179.746688
processes,10000,15000,2,1,0.132903
processes,100000,15000,2,1,0.559973
processes,1000000,15000,2,1,21.806321
processes,2500000,15000,2,1,64.167721
processes,4000000,15000,2,1,106.345854
processes,6000000,15000,2,1,163.832142
processes,10000,15000,2,2,0.111778
processes,100000,15000,2,2,0.494335
processes,1000000,15000,2,2,21.628768
processes,2500000,15000,2,2,63.799375
processes,4000000,15000,2,2,105.940725
processes,6000000,15000,2,2,161.848773
processes,10000,15000,2,3,0.112357
processes,100000,15000,2,3,0.486227
processes,1000000,15000,2,3,21.544144
processes,2500000,15000,2,3,63.933933
processes,4000000,15000,2,3,106.119621
processes,6000000,15000,2,3,162.017796
processes,10000,15000,2,4,0.108777
processes,100000,15000,2,4,0.469280
processes,1000000,15000,2,4,21.634824
processes,2500000,15000,2,4,64.258763
processes,4000000,15000,2,4,106.740867
processes,6000000,15000,2,4,164.557887
processes,10000,15000,2,5,0.115819
processes,100000,15000,2,5,0.488378
processes,1000000,15000,2,5,21.638406
processes,2500000,15000,2,5,63.756880
processes,4000000,15000,2,5,105.762050
processes,6000000,15000,2,5,161.664147
processes,10000,15000,2,6,0.118411
processes,100000,15000,2,6,0.495045
processes,1000000,15000,2,6,21.690495
processes,2500000,15000,2,6,63.840178
processes,4000000,15000,2,6,107.082434
processes,6000000,15000,2,6,162.715668
processes,10000,15000,2,7,0.140377
processes,100000,15000,2,7,0.533232
processes,1000000,15000,2,7,21.573283
processes,2500000,15000,2,7,64.075178
processes,4000000,15000,2,7,108.468752
processes,6000000,15000,2,7,161.701536
processes,10000,15000,2,8,0.148720
processes,100000,15000,2,8,0.516324
processes,1000000,15000,2,8,21.441282
processes,2500000,15000,2,8,63.875097
processes,4000000,15000,2,8,105.715683
processes,6000000,15000,2,8,162.256735
processes,10000,15000,2,9,0.156419
processes,100000,15000,2,9,0.484333
processes,1000000,15000,2,9,21.686231
processes,2500000,15000,2,9,64.300785
processes,4000000,15000,2,9,106.616809
processes,6000000,15000,2,9,164.518173
processes,10000,15000,2,10,0.136427
processes,100000,15000,2,10,0.518415
processes,1000000,15000,2,10,21.547625
processes,2500000,15000,2,10,64.212538
processes,4000000,15000,2,10,106.064557
processes,6000000,15000,2,10,161.683743
processes,10000,15000,4,1,0.137166
processes,100000,15000,4,1,0.433781
processes,1000000,15000,4,1,22.374515
processes,2500000,15000,4,1,66.337896
processes,4000000,15000,4,1,109.227179
processes,6000000,15000,4,1,165.117251
processes,10000,15000,4,2,0.132660
processes,100000,15000,4,2,0.400490
processes,1000000,15000,4,2,22.303936
processes,2500000,15000,4,2,66.123147
processes,4000000,15000,4,2,110.070892
processes,6000000,15000,4,2,166.118196
processes,10000,15000,4,3,0.137184
processes,100000,15000,4,3,0.450524
processes,1000000,15000,4,3,22.509766
processes,2500000,15000,4,3,68.231638
processes,4000000,15000,4,3,109.764534
processes,6000000,15000,4,3,165.720880
processes,10000,15000,4,4,0.137124
processes,100000,15000,4,4,0.416549
processes,1000000,15000,4,4,22.275850
processes,2500000,15000,4,4,68.797495
processes,4000000,15000,4,4,108.938662
processes,6000000,15000,4,4,165.001462
processes,10000,15000,4,5,0.133231
processes,100000,15000,4,5,0.388869
processes,1000000,15000,4,5,22.288844
processes,2500000,15000,4,5,65.932632
processes,4000000,15000,4,5,108.899992
processes,6000000,15000,4,5,166.386596
processes,10000,15000,4,6,0.134871
processes,100000,15000,4,6,0.400423
processes,1000000,15000,4,6,22.393644
processes,2500000,15000,4,6,66.474690
processes,4000000,15000,4,6,111.497176
processes,6000000,15000,4,6,164.937860
processes,10000,15000,4,7,0.132651
processes,100000,15000,4,7,0.417601
processes,1000000,15000,4,7,22.376661
processes,2500000,15000,4,7,66.113508
processes,4000000,15000,4,7,108.715264
processes,6000000,15000,4,7,164.586930
processes,10000,15000,4,8,0.133349
processes,100000,15000,4,8,0.376116
processes,1000000,15000,4,8,22.288207
processes,2500000,15000,4,8,66.193128
processes,4000000,15000,4,8,108.751315
processes,6000000,15000,4,8,164.949929
processes,10000,15000,4,9,0.130796
processes,100000,15000,4,9,0.369521
processes,1000000,15000,4,9,22.206719
processes,2500000,15000,4,9,66.070180
processes,4000000,15000,4,9,108.892020
processes,6000000,15000,4,9,164.870801
processes,10000,15000,4,10,0.134654
processes,100000,15000,4,10,0.368980
processes,1000000,15000,4,10,22.339675
processes,2500000,15000,4,10,66.087952
processes,4000000,15000,4,10,108.993441
processes,6000000,15000,4,10,164.588534
processes,10000,15000,8,1,0.196595
processes,100000,15000,8,1,0.447538
processes,1000000,15000,8,1,23.643619
processes,2500000,15000,8,1,70.405658
processes,4000000,15000,8,1,116.178784
processes,6000000,15000,8,1,176.415067
processes,10000,15000,8,2,0.203925
processes,100000,15000,8,2,0.424831
processes,1000000,15000,8,2,23.534884
processes,2500000,15000,8,2,70.401485
processes,4000000,15000,8,2,116.096034
processes,6000000,15000,8,2,176.460610
processes,10000,15000,8,3,0.206377
processes,100000,15000,8,3,0.474629
processes,1000000,15000,8,3,23.489969
processes,2500000,15000,8,3,70.251394
processes,4000000,15000,8,3,117.388484
processes,6000000,15000,8,3,177.592513
processes,10000,15000,8,4,0.205253
processes,100000,15000,8,4,0.486865
processes,1000000,15000,8,4,23.679539
processes,2500000,15000,8,4,72.143875
processes,4000000,15000,8,4,115.868304
processes,6000000,15000,8,4,176.569865
processes,10000,15000,8,5,0.194406
processes,100000,15000,8,5,0.471703
processes,1000000,15000,8,5,23.442314
processes,2500000,15000,8,5,70.299554
processes,4000000,15000,8,5,116.293512
processes,6000000,15000,8,5,176.332255
processes,10000,15000,8,6,0.197186
processes,100000,15000,8,6,0.489704
processes,1000000,15000,8,6,23.595183
processes,2500000,15000,8,6,75.469192
processes,4000000,15000,8,6,116.613215
processes,6000000,15000,8,6,178.763781
processes,10000,15000,8,7,0.197041
processes,100000,15000,8,7,0.467512
processes,1000000,15000,8,7,23.429960
processes,2500000,15000,8,7,70.346920
processes,4000000,15000,8,7,115.930776
processes,6000000,15000,8,7,176.515991
processes,10000,15000,8,8,0.208058
processes,100000,15000,8,8,0.421983
processes,1000000,15000,8,8,23.516358
processes,2500000,15000,8,8,70.335261
processes,4000000,15000,8,8,115.442558
processes,6000000,15000,8,8,175.993705
processes,10000,15000,8,9,0.211703
processes,100000,15000,8,9,0.434786
processes,1000000,15000,8,9,23.569514
processes,2500000,15000,8,9,70.232124
processes,4000000,15000,8,9,116.594768
processes,6000000,15000,8,9,177.821395
processes,10000,15000,8,10,0.198739
processes,100000,15000,8,10,0.409310
processes,1000000,15000,8,10,23.903712
processes,2500000,15000,8,10,72.506847
processes,4000000,15000,8,10,115.768900
processes,6000000,15000,8,10,176.243797
processes,10000,15000,16,1,0.396194
processes,100000,15000,16,1,0.668820
processes,1000000,15000,16,1,24.706140
processes,2500000,15000,16,1,70.945613
processes,4000000,15000,16,1,116.643447
processes,6000000,15000,16,1,177.082642
processes,10000,15000,16,2,0.396870
processes,100000,15000,16,2,0.654216
processes,1000000,15000,16,2,24.622816
processes,2500000,15000,16,2,71.052743
processes,4000000,15000,16,2,116.665731
processes,6000000,15000,16,2,176.717558
processes,10000,15000,16,3,0.389565
processes,100000,15000,16,3,0.636188
processes,1000000,15000,16,3,24.628572
processes,2500000,15000,16,3,70.761222
processes,4000000,15000,16,3,116.286040
processes,6000000,15000,16,3,176.644395
processes,10000,15000,16,4,0.389191
processes,100000,15000,16,4,0.650646
processes,1000000,15000,16,4,24.726314
processes,2500000,15000,16,4,70.712865
processes,4000000,15000,16,4,116.714438
processes,6000000,15000,16,4,176.936980
processes,10000,15000,16,5,0.368264
processes,100000,15000,16,5,0.604225
processes,1000000,15000,16,5,25.163762
processes,2500000,15000,16,5,70.945239
processes,4000000,15000,16,5,117.076867
processes,6000000,15000,16,5,177.137995
processes,10000,15000,16,6,0.389563
processes,100000,15000,16,6,0.664163
processes,1000000,15000,16,6,24.784095
processes,2500000,15000,16,6,71.120368
processes,4000000,15000,16,6,116.784083
processes,6000000,15000,16,6,177.272283
processes,10000,15000,16,7,0.369796
processes,100000,15000,16,7,0.609220
processes,1000000,15000,16,7,24.814872
processes,2500000,15000,16,7,71.081994
processes,4000000,15000,16,7,115.936577
processes,6000000,15000,16,7,177.129645
processes,10000,15000,16,8,0.386743
processes,100000,15000,16,8,0.660238
processes,1000000,15000,16,8,24.653251
processes,2500000,15000,16,8,70.942755
processes,4000000,15000,16,8,116.876244
processes,6000000,15000,16,8,177.359905
processes,10000,15000,16,9,0.394099
processes,100000,15000,16,9,0.639695
processes,1000000,15000,16,9,24.624534
processes,2500000,15000,16,9,70.952040
processes,4000000,15000,16,9,116.755936
processes,6000000,15000,16,9,178.078191
processes,10000,15000,16,10,0.430663
processes,100000,15000,16,10,0.644258
processes,1000000,15000,16,10,24.695801
processes,2500000,15000,16,10,70.868923
processes,4000000,15000,16,10,116.505074
processes,6000000,15000,16,10,176.936190
processes,10000,15000,32,1,0.783425
processes,100000,15000,32,1,1.055577
processes,1000000,15000,32,1,26.319771
processes,2500000,15000,32,1,71.812440
processes,4000000,15000,32,1,116.706338
processes,6000000,15000,32,1,178.869226
processes,10000,15000,32,2,0.782620
processes,100000,15000,32,2,1.043540
processes,1000000,15000,32,2,26.150447
processes,2500000,15000,32,2,72.053269
processes,4000000,15000,32,2,117.206078
processes,6000000,15000,32,2,178.867720
processes,10000,15000,32,3,0.763724
processes,100000,15000,32,3,1.034278
processes,1000000,15000,32,3,26.212399
processes,2500000,15000,32,3,72.068024
processes,4000000,15000,32,3,117.006247
processes,6000000,15000,32,3,177.953521
processes,10000,15000,32,4,0.782858
processes,100000,15000,32,4,1.048171
processes,1000000,15000,32,4,26.158341
processes,2500000,15000,32,4,71.852423
processes,4000000,15000,32,4,117.136958
processes,6000000,15000,32,4,178.203545
processes,10000,15000,32,5,0.774247
processes,100000,15000,32,5,1.048367
processes,1000000,15000,32,5,26.089876
processes,2500000,15000,32,5,71.797448
processes,4000000,15000,32,5,116.834525
processes,6000000,15000,32,5,178.315128
processes,10000,15000,32,6,0.781691
processes,100000,15000,32,6,1.040390
processes,1000000,15000,32,6,26.266122
processes,2500000,15000,32,6,71.989391
processes,4000000,15000,32,6,116.935001
processes,6000000,15000,32,6,177.979601
processes,10000,15000,32,7,0.773523
processes,100000,15000,32,7,1.039319
processes,1000000,15000,32,7,26.194595
processes,2500000,15000,32,7,71.926692
processes,4000000,15000,32,7,117.010269
processes,6000000,15000,32,7,22824.192535
processes,10000,15000,32,8,0.779320
processes,100000,15000,32,8,1.056320
processes,1000000,15000,32,8,26.430461
processes,2500000,15000,32,8,72.523257
processes,4000000,15000,32,8,118.047521
processes,6000000,15000,32,8,179.761904
processes,10000,15000,32,9,0.788993
processes,100000,15000,32,9,1.049188
processes,1000000,15000,32,9,26.425004
processes,2500000,15000,32,9,72.558190
processes,4000000,15000,32,9,119.590178
processes,6000000,15000,32,9,180.047959
processes,10000,15000,32,10,0.724886
processes,100000,15000,32,10,0.921932
processes,1000000,15000,32,10,26.296349
processes,2500000,15000,32,10,72.269917
processes,4000000,15000,32,10,120.746172
processes,6000000,15000,32,10,179.593844
