Iteracion,1025,4097,16385,131073,1048577,4194305
1,0.075174,0.275351,1.092854,8.920979,73.346353,421.020179
2,0.076791,0.299980,1.184182,9.306935,72.050293,392.623178
3,0.075248,0.288370,1.143877,9.040170,72.209327,343.760656
4,0.076852,0.297580,1.184112,9.496500,73.050293,373.643478
5,0.076248,0.278370,1.153874,9.050870,72.549327,340.740656
Promedio (s),0.076063,0.287930,1.151780,9.163091,72.641119,374.357629
Speedup (vs secuencial),1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
