Iteracion,1025,4097,16385,131073,1048577,4194305
1,0.068587,0.258547,1.024954,8.243893,66.566029,340.338894
2,0.069472,0.251479,0.981481,7.921209,63.726894,326.774677
3,0.067192,0.250336,0.983385,7.944996,64.710787,308.713092
4,0.069491,0.252489,0.981991,7.921310,63.723334,321.778817
5,0.065292,0.260536,0.981365,8.004096,65.770897,318.723132
Promedio (s),0.068007,0.254677,0.990635,8.007101,64.899588,323.265722
Speedup (vs secuencial),1.118456,1.130568,1.162668,1.144371,1.119285,1.158049
